Cell	Longitude	Latitude
90	34.631603	47.457836
91	34.644867	47.457645
92	34.658127	47.457455
93	34.67139	47.45726
94	34.68465	47.45707
95	34.69791	47.45687
96	34.711174	47.456676
97	34.724434	47.45648
98	34.737694	47.456276
99	34.750954	47.456074
100	34.499233	47.46864
101	34.5125	47.468468
102	34.525764	47.468292
103	34.539032	47.468113
104	34.552296	47.467934
105	34.56556	47.467754
106	34.578823	47.46757
107	34.59209	47.46739
108	34.605354	47.467205
109	34.618618	47.46702
110	34.63188	47.46683
111	34.645145	47.46664
112	34.65841	47.46645
113	34.671673	47.466255
114	34.684937	47.46606
115	34.6982	47.465866
116	34.711464	47.465668
117	34.724728	47.46547
118	34.73799	47.46527
119	34.751255	47.46507
120	34.49949	47.477634
121	34.512756	47.477463
122	34.526024	47.477287
123	34.53929	47.477108
124	34.55256	47.47693
125	34.565826	47.47675
126	34.579094	47.476566
127	34.59236	47.476383
128	34.60563	47.4762
129	34.618893	47.476013
130	34.63216	47.475822
131	34.645428	47.475636
132	34.65869	47.475445
133	34.67196	47.47525
134	34.685226	47.475056
135	34.69849	47.47486
136	34.711758	47.474663
137	34.72502	47.474464
138	34.73829	47.474262
139	34.751553	47.47406
140	34.49975	47.48663
141	34.513016	47.486458
142	34.526287	47.486282
143	34.539555	47.486103
144	34.552826	47.485924
145	34.566093	47.485744
146	34.579365	47.48556
147	34.592632	47.48538
148	34.605904	47.48519
149	34.61917	47.48501
150	34.63244	47.484818
151	34.645706	47.484627
152	34.658978	47.484436
153	34.672245	47.484245
154	34.685513	47.48405
155	34.69878	47.483856
156	34.712048	47.483658
157	34.725315	47.48346
158	34.738583	47.483257
159	34.75185	47.483055
160	34.500004	47.495625
161	34.513275	47.495453
162	34.526546	47.495274
163	34.539818	47.4951
164	34.55309	47.49492
165	34.56636	47.49474
166	34.57963	47.494556
167	34.592903	47.494373
168	34.606174	47.494186
169	34.619446	47.494
170	34.632717	47.493813
171	34.64599	47.49362
172	34.65926	47.49343
173	34.67253	47.49324
174	34.685802	47.493046
175	34.69907	47.492847
176	34.71234	47.49265
177	34.725613	47.49245
178	34.73888	47.492252
179	34.75215	47.49205
180	34.50026	47.50462
181	34.513535	47.504448
182	34.526806	47.50427
183	34.54008	47.504093
184	34.553356	47.503914
185	34.56663	47.503735
186	34.579903	47.50355
187	34.593178	47.50337
188	34.60645	47.50318
189	34.619724	47.502995
190	34.632996	47.502808
191	34.64627	47.502617
192	34.659542	47.502426
193	34.672817	47.50223
194	34.68609	47.502037
195	34.69936	47.501842
196	34.712635	47.501644
197	34.725906	47.501446
198	34.739178	47.501244
199	34.75245	47.50104
200	34.500515	47.513615
201	34.513794	47.51344
202	34.52707	47.513264
203	34.540344	47.51309
204	34.55362	47.51291
205	34.5669	47.512726
206	34.580173	47.512547
207	34.59345	47.512363
208	34.606724	47.512177
209	34.62	47.51199
210	34.633278	47.511803
211	34.646553	47.511612
212	34.65983	47.51142
213	34.673103	47.511227
214	34.68638	47.511032
215	34.69965	47.510838
216	34.712925	47.51064
217	34.7262	47.51044
218	34.739475	47.51024
219	34.75275	47.510036
220	34.50077	47.52261
221	34.51405	47.522434
222	34.52733	47.52226
223	34.540607	47.522083
224	34.553886	47.521904
225	34.567165	47.52172
226	34.580444	47.52154
227	34.593723	47.521355
228	34.607	47.52117
229	34.620277	47.520985
230	34.633556	47.520794
231	34.64683	47.520607
232	34.66011	47.520412
233	34.67339	47.52022
